"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"mass";"chi.distance";"inertie"
"désormais";1,33080211053682;0,708643087648255;0,179219198992315;1,01087837193847;0,729581433680267;0,388497159540477;0,098252774855533;0,554190653919042;0,594101665861824;0,156129457325184;0,00853281222987701;0,241236064583114;0,00313457390691902;0,000888805355171066;5,68487102432687e-05;0,00180862846522648;0,00176991150442478;1,1038960039037;0,00215679006625585
"débat";1,51743567344084;1,18651571199412;-1,59165805490843;-1,96919305236318;0,476965829223363;0,372949878774473;-0,500295674661453;-0,618963830599508;0,276007299370794;0,156402217752481;0,240485473426739;0,327105009449987;0,00407541773987764;0,00249171599081223;0,00448385020133607;0,00686322349995648;0,00176991150442478;1,84669456561116;0,00603589525426156
"domestique";-0,249738720703354;-0,663379304961357;-0,125161429105741;0,208919531338032;-0,333205902377684;-0,885092625227663;-0,166992634584673;0,278744204213732;0,121492622581091;0,794507335057697;0,0241662066508191;0,0598338357103937;0,000110388369236368;0,000778888676550466;2,77263421872414e-05;7,72519833177046e-05;0,00176991150442478;0,458095467218748;0,000371418508117456
"crise";1,51743567344084;1,18651571199412;-1,59165805490843;-1,96919305236318;0,476965829223363;0,372949878774473;-0,500295674661453;-0,618963830599508;0,276007299370794;0,156402217752481;0,240485473426739;0,327105009449987;0,00407541773987764;0,00249171599081223;0,00448385020133607;0,00686322349995648;0,00176991150442478;1,84669456561116;0,00603589525426156
"convention";-2,30242663300506;1,02360674291666;0,187358888207676;-0,114013550297631;-0,910324460767754;0,404709641091871;0,0740772263631665;-0,0450782327684618;0,840226703448792;0,153917176172503;0,0044061857057151;0,00144993467298949;0,00938259893870974;0,00185446152945919;6,21298283016222e-05;2,30072383211864e-05;0,00176991150442478;1,60595224064206;0,00456474796322702
"contraception";1,33080211053682;0,708643087648255;0,179219198992315;1,01087837193847;0,729581433680267;0,388497159540477;0,098252774855533;0,554190653919042;0,594101665861824;0,156129457325184;0,00853281222987701;0,241236064583114;0,00313457390691902;0,000888805355171066;5,68487102432687e-05;0,00180862846522648;0,00176991150442478;1,1038960039037;0,00215679006625585
"conseil";-1,51215621738497;1,70961793922146;0,339549202256704;0,286965870002586;-0,650303881729671;0,73522243890451;0,146023381531045;0,12340988122863;0,444453630103324;0,526534948857805;0,0177471199396467;0,0112643010992247;0,00404710871818766;0,00517308583735901;0,000204059576554273;0,000145751169108568;0,00176991150442478;1,45020198729874;0,00372227575923046
"concrétiser";-1,04000913632344;-1,34939050126616;-0,277351743154768;-0,192059888962184;-0,598826467676551;-0,776965046909171;-0,159696255404483;-0,110586090903155;0,378704455980313;0,590877339848778;0,0213293304337057;0,00908887373720312;0,00191436991794022;0,00322275172549973;0,000136148653860157;6,52867273418878e-05;0,00176991150442478;1,08051801539154;0,00206640563112509
"concertation";0,540531694916731;0,0226318913434489;0,0270288849432869;0,609898951638249;0,662646215379689;0,0277447877463153;0,0331351306168295;0,747684614737318;0,52643893454945;0,000855348902839235;0,00104244043352405;0,471663276114186;0,000517123032229299;9,06553107578192e-07;1,29302764827866e-06;0,000658365895945902;0,00176991150442478;0,476312774378337;0,000401546653161042
"comporter";-0,249738720703354;-0,663379304961357;-0,125161429105741;0,208919531338032;-0,333205902377684;-0,885092625227663;-0,166992634584673;0,278744204213732;0,121492622581091;0,794507335057697;0,0241662066508191;0,0598338357103937;0,000110388369236368;0,000778888676550466;2,77263421872414e-05;7,72519833177046e-05;0,00176991150442478;0,458095467218748;0,000371418508117456
"citer";1,33080211053682;0,708643087648255;0,179219198992315;1,01087837193847;0,729581433680267;0,388497159540477;0,098252774855533;0,554190653919042;0,594101665861824;0,156129457325184;0,00853281222987701;0,241236064583114;0,00313457390691902;0,000888805355171066;5,68487102432687e-05;0,00180862846522648;0,00176991150442478;1,1038960039037;0,00215679006625585
"cher";0,540531694916731;0,0226318913434489;0,0270288849432869;0,609898951638249;0,662646215379689;0,0277447877463153;0,0331351306168295;0,747684614737318;0,52643893454945;0,000855348902839235;0,00104244043352405;0,471663276114186;0,000517123032229299;9,06553107578192e-07;1,29302764827866e-06;0,000658365895945902;0,00176991150442478;0,476312774378337;0,000401546653161042
"charger";0,540531694916731;0,0226318913434489;0,0270288849432869;0,609898951638249;0,662646215379689;0,0277447877463153;0,0331351306168295;0,747684614737318;0,52643893454945;0,000855348902839235;0,00104244043352405;0,471663276114186;0,000517123032229299;9,06553107578192e-07;1,29302764827866e-06;0,000658365895945902;0,00176991150442478;0,476312774378337;0,000401546653161042
"changement";0,540531694916731;0,0226318913434489;0,0270288849432869;0,609898951638249;0,662646215379689;0,0277447877463153;0,0331351306168295;0,747684614737318;0,52643893454945;0,000855348902839235;0,00104244043352405;0,471663276114186;0,000517123032229299;9,06553107578192e-07;1,29302764827866e-06;0,000658365895945902;0,00176991150442478;0,476312774378337;0,000401546653161042
"attacher";-0,249738720703354;-0,663379304961357;-0,125161429105741;0,208919531338032;-0,333205902377684;-0,885092625227663;-0,166992634584673;0,278744204213732;0,121492622581091;0,794507335057697;0,0241662066508191;0,0598338357103937;0,000110388369236368;0,000778888676550466;2,77263421872414e-05;7,72519833177046e-05;0,00176991150442478;0,458095467218748;0,000371418508117456
"association";0,540531694916731;0,0226318913434489;0,0270288849432869;0,609898951638249;0,662646215379689;0,0277447877463153;0,0331351306168295;0,747684614737318;0,52643893454945;0,000855348902839235;0,00104244043352405;0,471663276114186;0,000517123032229299;9,06553107578192e-07;1,29302764827866e-06;0,000658365895945902;0,00176991150442478;0,476312774378337;0,000401546653161042
"arrêter";1,33080211053682;0,708643087648255;0,179219198992315;1,01087837193847;0,729581433680267;0,388497159540477;0,098252774855533;0,554190653919042;0,594101665861824;0,156129457325184;0,00853281222987701;0,241236064583114;0,00313457390691902;0,000888805355171066;5,68487102432687e-05;0,00180862846522648;0,00176991150442478;1,1038960039037;0,00215679006625585
"arriver";-0,249738720703354;-0,663379304961357;-0,125161429105741;0,208919531338032;-0,333205902377684;-0,885092625227663;-0,166992634584673;0,278744204213732;0,121492622581091;0,794507335057697;0,0241662066508191;0,0598338357103937;0,000110388369236368;0,000778888676550466;2,77263421872414e-05;7,72519833177046e-05;0,00176991150442478;0,458095467218748;0,000371418508117456
"agriculteur";-0,249738720703354;-0,663379304961357;-0,125161429105741;0,208919531338032;-0,333205902377684;-0,885092625227663;-0,166992634584673;0,278744204213732;0,121492622581091;0,794507335057697;0,0241662066508191;0,0598338357103937;0,000110388369236368;0,000778888676550466;2,77263421872414e-05;7,72519833177046e-05;0,00176991150442478;0,458095467218748;0,000371418508117456
