"";"Coord. facteur 1";"Coord. facteur 2";"Corr. facteur 1";"Corr. facteur 2";"COR -facteur 1";"COR -facteur 2";"CTR -facteur 1";"CTR -facteur 2";"mass";"chi.distance";"inertie"
"avant";1,23273408060422;1,3220047260883;0,681982004867717;0,731368952743148;NA;NA;NA;NA;NA;1,11492401335497;NA
"aucune";1,06625021892626;-1,64675673034052;0,543503391062087;-0,839406971560287;NA;NA;NA;NA;NA;1,19806243850963;NA
"tant";0,109868058075149;0,92616789353453;0,117800539138082;0,993037276731733;NA;NA;NA;NA;NA;0,559982363037962;NA
"ses";-1,0962398952929;-0,954049667233652;-0,754333703001328;-0,656491176266904;NA;NA;NA;NA;NA;0,901774899596982;NA
"personne";-2,135863986983;0,134494228426989;-0,998023299275599;0,0628450006209585;NA;NA;NA;NA;NA;1,36014705087354;NA
"laquelle";-1,35614591821543;-0,681913693318492;-0,893412808509775;-0,449236634292749;NA;NA;NA;NA;NA;0,954226837742484;NA
"certains";0,02662612723617;-0,558212834679881;0,0476447109657539;-0,998864345903381;NA;NA;NA;NA;NA;0,335300409491065;NA
"c_est_à_dire";1,14949214976524;-0,162376002126111;0,990169832640246;-0,139870306102429;NA;NA;NA;NA;NA;0,737187142538036;NA
"soi";0,109868058075149;0,92616789353453;0,117800539138082;0,993037276731733;NA;NA;NA;NA;NA;0,559982363037962;NA
"quelques";0,02662612723617;-0,558212834679881;0,0476447109657539;-0,998864345903381;NA;NA;NA;NA;NA;0,335300409491065;NA
"partout";0,02662612723617;-0,558212834679881;0,0476447109657539;-0,998864345903381;NA;NA;NA;NA;NA;0,335300409491065;NA
"moi";0,109868058075149;0,92616789353453;0,117800539138082;0,993037276731733;NA;NA;NA;NA;NA;0,559982363037962;NA
"eh";0,02662612723617;-0,558212834679881;0,0476447109657539;-0,998864345903381;NA;NA;NA;NA;NA;0,335300409491065;NA
"comment";-1,01299796445392;0,530331060980759;-0,885934654127765;0,463810078173726;NA;NA;NA;NA;NA;0,718258353051599;NA
"chacune";1,14949214976524;-0,162376002126111;0,990169832640246;-0,139870306102429;NA;NA;NA;NA;NA;0,737187142538036;NA
"bon";-0,0566158036028087;-2,04259356289429;-0,0277069648923569;-0,999616088354151;NA;NA;NA;NA;NA;1,22588412102147;NA
"*loc_mitterand";-0,46354863614383;-0,111846786847854;-0,972103376842464;-0,234552818638954;NA;NA;NA;NA;NA;0,30221666339374;NA
"*date_1982";-0,46354863614383;-0,111846786847854;-0,972103376842464;-0,234552818638954;NA;NA;NA;NA;NA;0,30221666339374;NA
"*loc_chirac";1,16462704628142;0,107511403003782;0,995766102403286;0,0919231706620662;NA;NA;NA;NA;NA;0,743148267736163;NA
"*date_2006";1,16462704628142;0,107511403003782;0,995766102403286;0,0919231706620662;NA;NA;NA;NA;NA;0,743148267736163;NA
"*loc_hollande";0,595595909308456;-0,0170971929970037;0,999588236434663;-0,0286942081514652;NA;NA;NA;NA;NA;0,378754522106681;NA
"*date_2017";0,595595909308456;-0,0170971929970037;0,999588236434663;-0,0286942081514652;NA;NA;NA;NA;NA;0,378754522106681;NA
