"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"mass";"chi.distance";"inertie"
"réduire";0,5641421590099;-6,94170515720677;0,418980817327461;0,0808552995862429;-0,99491527297018;0,060050146873186;0,00739491377734889;0,989852410082081;0,0027526761405693;0,00272013996215685;0,411857012731548;0,00150038397682382;0,00854700854700855;5,4993152518804;0,258482634526192
"réaliser";0,133404439858441;0,183668035462228;-0,24404323044715;0,400255326301823;0,551061940240946;-0,73220653628939;0,202668607901479;0,33962151460056;0,457709877497963;0,00015210892798243;0,000288324335474823;0,000509035028436588;0,00854700854700855;0,248406902300858;0,000527401616330836
"respecter";0,133404439858441;0,183668035462228;-0,24404323044715;0,400255326301823;0,551061940240946;-0,73220653628939;0,202668607901479;0,33962151460056;0,457709877497963;0,00015210892798243;0,000288324335474823;0,000509035028436588;0,00854700854700855;0,248406902300858;0,000527401616330836
"reconnaître";0,133404439858441;0,183668035462228;-0,24404323044715;0,400255326301823;0,551061940240946;-0,73220653628939;0,202668607901479;0,33962151460056;0,457709877497963;0,00015210892798243;0,000288324335474823;0,000509035028436588;0,00854700854700855;0,248406902300858;0,000527401616330836
"partir";0,170223499056929;0,287528211930372;1,72295529648862;0,0969903219487011;0,163828460811597;0,98170928124185;0,0137625747274034;0,0347139238283109;0,951523501444286;0,000247658458386192;0,00070660233039211;0,0253724355016938;0,00854700854700855;1,21634363279085;0,012645229342144
"parler";0,133404439858441;0,183668035462228;-0,24404323044715;0,400255326301823;0,551061940240946;-0,73220653628939;0,202668607901479;0,33962151460056;0,457709877497963;0,00015210892798243;0,000288324335474823;0,000509035028436588;0,00854700854700855;0,248406902300858;0,000527401616330836
"ouvrir";0,133404439858441;0,183668035462228;-0,24404323044715;0,400255326301823;0,551061940240946;-0,73220653628939;0,202668607901479;0,33962151460056;0,457709877497963;0,00015210892798243;0,000288324335474823;0,000509035028436588;0,00854700854700855;0,248406902300858;0,000527401616330836
"imposer";0,133404439858441;0,183668035462228;-0,24404323044715;0,400255326301823;0,551061940240946;-0,73220653628939;0,202668607901479;0,339621514600559;0,457709877497963;0,000121687142385944;0,000230659468379858;0,00040722802274927;0,00683760683760684;0,248406902300858;0,000421921293064669
"donner";0,133404439858441;0,183668035462228;-0,24404323044715;0,400255326301823;0,551061940240946;-0,73220653628939;0,202668607901479;0,33962151460056;0,457709877497963;0,00015210892798243;0,000288324335474823;0,000509035028436588;0,00854700854700855;0,248406902300858;0,000527401616330836
"disposer";0,133404439858441;0,183668035462228;-0,24404323044715;0,400255326301823;0,551061940240946;-0,73220653628939;0,202668607901479;0,339621514600559;0,457709877497963;0,000121687142385944;0,000230659468379858;0,00040722802274927;0,00683760683760684;0,248406902300858;0,000421921293064669
